"station_id","station_guid","easting","northing","longitude","latitude","catchment_area","station_name","river_name","date_opened","date_closed","wiski_id","river_level_tool_id","rfa_station_id","station_status","station_status_reason"
"78df8fd0-4075-4296-8187-b25f3c53de52","78df8fd0-4075-4296-8187-b25f3c53de52",432130,168520,-1.539372,51.414788,101.3,"Hungerford","River Dun","1968-04-01","","2239TH",7120.0,"39028","Active",""
"b0a28c3c-b5dc-4a94-a661-2ef0639049c7","b0a28c3c-b5dc-4a94-a661-2ef0639049c7",506573,194809,-0.46125,51.641989,105.0,"Rickmansworth","River Chess","1974-07-01","","2859TH",7190.0,"39088","Active",""
"d42b68be-0da7-4519-ba9a-e24f789d9c10","d42b68be-0da7-4519-ba9a-e24f789d9c10",476061,444429,-0.844165,53.890459,103.1,"Thornton Lock","","1983-04-14","","F2830",9145.0,"27076","Active",""
"d0bdea3c-41c2-4ad7-8b19-28f968b4ce61","d0bdea3c-41c2-4ad7-8b19-28f968b4ce61",555163,186177,0.236647,51.553141,47.9,"Gaynes Park","","1970-11-01","","5550TH",9325.0,"37018","Active",""
"a360ba77-5ae2-465f-9808-26fc197adde6","a360ba77-5ae2-465f-9808-26fc197adde6",410895,319175,-1.839949,52.770052,163.5,"Hamstall Ridware","River Blithe","1959-10-01","","4002",9081.0,"28002","Active",""
"b6cc814c-4b13-4645-89ee-25e8e3d79dc0","b6cc814c-4b13-4645-89ee-25e8e3d79dc0",229956,59471,-4.394536,50.410438,39.1,"Trebrownbridge","River Seaton","1972-08-01","","SX25F064",3133.0,"48010","Active",""
"4ced4530-229b-4bca-8723-003040a6d40a","4ced4530-229b-4bca-8723-003040a6d40a",140014,22986,-5.633119,50.050073,13.7,"Penberth","","1993-12-16","","SW42F895",3339.0,"49008","Active",""
"84b5acac-c528-4115-9d61-382762a52e99","84b5acac-c528-4115-9d61-382762a52e99",418367,93387,-1.741067,50.739803,"","Somerford","River Mude","1971-10-01","","430160","","43013","Active",""
"351f05c7-7a89-46c0-9d8a-dc56c5f7b42d","351f05c7-7a89-46c0-9d8a-dc56c5f7b42d",401106,445684,-1.984643,53.9073,282.0,"Kildwick","River Aire","1966-11-28","","F1503",8112.0,"27035","Active",""
"8c0977fe-d8fe-4d98-83ab-7916cbd2eb83","8c0977fe-d8fe-4d98-83ab-7916cbd2eb83",518534,229020,-0.276795,51.94705,6.8,"Hitchin","River Hiz","1980-08-09","","033065","","33065","Active",""
"b8e0fbe8-8d4f-4bd7-bd4e-068972edf6ea","b8e0fbe8-8d4f-4bd7-bd4e-068972edf6ea",594432,341388,0.891642,52.934657,77.1,"Warham","River Stiffkey","1980-01-17","","034018","","34018","Active",""
"9796dc02-6edf-4392-b727-0d861cbb1edd","9796dc02-6edf-4392-b727-0d861cbb1edd",364803,164723,-2.507113,51.380453,130.0,"Compton Dando","River Chew","1958-03-01","","531450",3044.0,"53004","Active",""
"34f4e53b-4616-4aaa-b8ad-170c22c808c4","34f4e53b-4616-4aaa-b8ad-170c22c808c4",320910,494720,-3.218047,54.341859,"","Ulpha","River Duddon","1973-01-11","","740101",5142.0,"74008","Active",""
"34f4e53b-4616-4aaa-b8ad-170c22c808c4_589359","34f4e53b-4616-4aaa-b8ad-170c22c808c4",320907,494697,-3.218087,54.341652,"","Ulpha  Duddo","","1990-10-04","","589359","","","Active",""
"00ea663a-3d89-4f10-a22d-17f07465cebc","00ea663a-3d89-4f10-a22d-17f07465cebc",290478,147006,-3.569336,51.211718,"","Allerford","River Aller","1993-01-21","","510305_FW",3092.0,"","Active",""
"d21c59dc-848c-4c13-97eb-edbb1e71b767","d21c59dc-848c-4c13-97eb-edbb1e71b767",345515,353965,-2.814806,53.080104,38.1,"Carden Park","Carden Brook","1999-09-10","","067045","","","Active",""
"e574cb25-00e0-4d39-a8b4-da06d1f173ce","e574cb25-00e0-4d39-a8b4-da06d1f173ce",204456,67451,-4.757174,50.474183,38.5,"Bodmin Dunmere","River Camel","2015-04-23","","SX06F057",9149.0,"49007","Active",""
"8ff9f61b-d835-498e-895c-0e54293930b2","8ff9f61b-d835-498e-895c-0e54293930b2",444100,146290,-1.370003,51.214112,"","Hurstbourne Priors","Bourne Rivulet","1993-03-08","","151802002","","","Active",""
"cdbecc7a-6bfa-41c2-8c38-222c43367fe2","cdbecc7a-6bfa-41c2-8c38-222c43367fe2",475420,259740,-0.897134,52.230695,"","South Bridge Ultra","River Nene","1998-10-13","","U32001","","","Active",""
"60ce0c60-fc75-4465-8170-938241cd4424","60ce0c60-fc75-4465-8170-938241cd4424",455845,368005,-1.165341,53.206178,63.0,"Church Warsop","River Meden","1965-08-01","","4032",2186.0,"28032","Active",""
"3281b3cf-9010-4f38-8fec-8f8ba1343ea3","3281b3cf-9010-4f38-8fec-8f8ba1343ea3",518410,221210,-0.28128,51.876889,39.1,"Whitwell","River Mimram","1970-06-01","","4730TH",7334.0,"38017","Active",""
"280e15ee-d656-40f0-be7a-a144770a6744","280e15ee-d656-40f0-be7a-a144770a6744",422476,421023,-1.661155,53.685171,46.3,"Northorpe","","1982-06-22","","F1385",8149.0,"27074","Active",""
"35d60d64-c511-444d-90bc-c5659d860583","35d60d64-c511-444d-90bc-c5659d860583",519004,237883,-0.266888,52.026597,108.0,"Arlesey","River Hiz","1973-04-12","","033033",6076.0,"33033","Active",""
"d52d0eab-1e64-4d76-a1f2-e81c7948d2c0","d52d0eab-1e64-4d76-a1f2-e81c7948d2c0",378025,304675,-2.326164,52.639361,65.3,"Cosford","River Worfe","1975-01-30","","2046","","54046","Active",""
"d52d0eab-1e64-4d76-a1f2-e81c7948d2c0_435510","d52d0eab-1e64-4d76-a1f2-e81c7948d2c0",378020,304670,-2.326238,52.639315,"","Cosford","","1982-11-05","","435510","","","Active",""
"585e49e0-7070-4d85-9c52-ccd18a5a1e65","585e49e0-7070-4d85-9c52-ccd18a5a1e65",381522,160445,-2.266665,51.342781,"","Bradford On Avon","","1998-01-01","","530176",3016.0,"","Active",""
"585e49e0-7070-4d85-9c52-ccd18a5a1e65_413902","585e49e0-7070-4d85-9c52-ccd18a5a1e65",381570,160310,-2.265968,51.341569,"","Bradford On Avon","","1991-10-01","","413902","","","Active",""
"575d64ff-3205-4213-abe9-ed455d9bc49f","575d64ff-3205-4213-abe9-ed455d9bc49f",242627,72524,-4.221847,50.531269,916.9,"Gunnislake","River Tamar","1956-06-25","","SX47F051",3201.0,"47001","Active",""
"f48b6a3b-96f0-40cf-9f97-22d0ba05652b","f48b6a3b-96f0-40cf-9f97-22d0ba05652b",385436,157893,-2.210367,51.319949,"","Trowbridge","River Biss","1984-01-01","","531050",3047.0,"53029","Active",""
"fd43ce67-61f8-481b-8547-0d899aa63c0b","fd43ce67-61f8-481b-8547-0d899aa63c0b",567855,124005,0.390375,50.990967,27.5,"Burwash","River Dudwell","1969-05-05","","556521001","","40017","Active",""
"c7e13884-4a02-4df3-b184-09aea28cf8e8","c7e13884-4a02-4df3-b184-09aea28cf8e8",498670,326110,-0.537135,52.82349,31.6,"Burton Coggles","West Glen River","1969-02-13","","031011",6026.0,"31011","Active",""
"c7e13884-4a02-4df3-b184-09aea28cf8e8_3_020","c7e13884-4a02-4df3-b184-09aea28cf8e8",498965,325135,-0.533054,52.814674,"","Burton Coggles","","1974-07-30","","3_020","","","Active",""
"3d92eb2a-bb11-4519-980b-4ca2700e980b","3d92eb2a-bb11-4519-980b-4ca2700e980b",568006,325260,0.490559,52.798728,47.7,"Castle Rising","Babingley River","1976-07-13","","033054",6248.0,"33054","Active",""
"404429da-b05c-4c95-98ee-4941b2133cb6","404429da-b05c-4c95-98ee-4941b2133cb6",336052,118779,-2.911994,50.964864,90.1,"Ashford Mill","River Isle","1962-10-01","","520110",3077.0,"52004","Active",""
"5e6d925f-3102-444c-a748-1dbec611e1dc","5e6d925f-3102-444c-a748-1dbec611e1dc",426042,240517,-1.621546,52.062415,185.0,"Shipston","River Stour","1972-04-24","","2092",2045.0,"54106","Active",""
"a49bd26a-9ea4-47ec-b7ab-3a5ceb369e70","a49bd26a-9ea4-47ec-b7ab-3a5ceb369e70",386097,363263,-2.209408,53.16629,145.0,"Congleton Park","River Dane","1979-11-01","","681006",5036.0,"68018","Active",""
"e8f318af-7c16-40c2-a2a2-c723e1c21eee","e8f318af-7c16-40c2-a2a2-c723e1c21eee",336969,494044,-2.970931,54.338025,"","Eel House Bridge","Cunsey Beck","1976-01-01","","735226",5209.0,"73006","Active",""
"624d4674-67a2-4537-874a-235e8958203a","624d4674-67a2-4537-874a-235e8958203a",508243,195241,-0.436992,51.645553,184.0,"Croxley Green","River Gade","1970-10-01","","2849TH",7188.0,"39030","Active",""
"6c72f76a-b76c-4a28-8701-71cdca25c0f5","6c72f76a-b76c-4a28-8701-71cdca25c0f5",498045,177245,-0.589344,51.485663,7100.0,"Windsor","River Thames","1979-07-20","","2700TH",7170.0,"39072","Active",""
"cc0cedad-23fc-4893-b83c-1f47871293bd","cc0cedad-23fc-4893-b83c-1f47871293bd",446282,236901,-1.326823,52.02859,87.7,"Bodicote","Sor Brook","1995-05-26","","1437TH",7062.0,"39144","Active",""
"b435c357-5e89-429d-9e2e-f52e231d7a5f","b435c357-5e89-429d-9e2e-f52e231d7a5f",540179,367601,0.09648,53.187026,"","Partney","River Lymn","1963-01-01","","030004",6112.0,"30004","Active",""
"0a8b3311-f905-40e3-9516-823b7eb8a946","0a8b3311-f905-40e3-9516-823b7eb8a946",369368,577778,-2.481494,55.09346,1.5,"Coal Burn","Coal Burn","1991-07-01","","763117",5033.0,"76011","Active",""
"0a8b3311-f905-40e3-9516-823b7eb8a946_603111","0a8b3311-f905-40e3-9516-823b7eb8a946",369326,577721,-2.482146,55.092945,"","Coalburn Whitehill","","1992-08-11","","603111","","","Active",""
"ac26cd8b-faa1-428c-9b71-267005839f70","ac26cd8b-faa1-428c-9b71-267005839f70",377299,509694,-2.351872,54.482067,69.4,"Kirkby Stephen","River Eden","1931-09-12","","760101",5157.0,"76014","Active",""
"8496ce69-482c-406a-a2f0-ac418ef8f099","8496ce69-482c-406a-a2f0-ac418ef8f099",517785,169855,-0.307629,51.415482,9948.0,"Kingston","River Thames","1883-10-01","","3400TH",7267.0,"39001","Active",""
"029d4a8c-45f6-4c66-8a23-1785a26aa017","029d4a8c-45f6-4c66-8a23-1785a26aa017",352010,518079,-2.743525,54.555648,"","Bampton Grange","River Lowther","2000-10-10","","761260",5170.0,"","","Data Temporarily Suspended"
"e18394ec-4cb0-4fd6-b078-f2686bdac694","e18394ec-4cb0-4fd6-b078-f2686bdac694",456783,164772,-1.185506,51.379163,148.0,"Brimpton","River Enborne","1967-10-01","","2279TH",7128.0,"39025","Active",""
"af5d4468-4d94-49ce-bca2-8b4f73648d71","af5d4468-4d94-49ce-bca2-8b4f73648d71",469439,479196,-0.93696,54.203804,238.7,"Ness","River Rye","1974-08-07","","F2505",8147.0,"27049","Active",""
"7af14076-87ce-457c-be19-72ad5e30503e","7af14076-87ce-457c-be19-72ad5e30503e",406325,366835,-1.906769,53.198546,8.1,"Hollinsclough","River Dove","1965-09-01","","4033","","28033","Active",""
"e7bc8b2f-525b-4f1f-902d-6398a291f85f","e7bc8b2f-525b-4f1f-902d-6398a291f85f",358616,406023,-2.626059,53.549186,55.3,"Wigan","River Douglas","1999-12-01","","700325",5152.0,"70003","Active",""
"951e3a10-1d16-4526-b767-e5056724b5b6","951e3a10-1d16-4526-b767-e5056724b5b6",418255,369685,-1.728027,53.223891,154.0,"Ashford","River Wye","1965-07-13","","4023",2110.0,"28023","Active",""
"f6570b4e-8721-4397-885a-7ecfeab86cd8","f6570b4e-8721-4397-885a-7ecfeab86cd8",433405,131335,-1.524498,51.080366,"","Bossington","Wallop Brook","1993-03-05","","151808002","","42026","Active",""
"4d693468-3dc8-4013-9fe9-a8125199be8c","4d693468-3dc8-4013-9fe9-a8125199be8c",458746,107460,-1.166624,50.863669,110.0,"North Fareham","","1975-07-01","","153309001",1044.0,"42001","Active",""
"bbaa85be-3a06-4d2b-b5ad-7f1f55b6554d","bbaa85be-3a06-4d2b-b5ad-7f1f55b6554d",404007,243741,-1.94292,52.091994,2210.0,"Evesham","River Avon","1936-12-01","","2002",2002.0,"54002","Active",""
"9eb75798-aa46-40f5-b9c7-7fd7b919087d","9eb75798-aa46-40f5-b9c7-7fd7b919087d",441924,472437,-1.359677,54.146044,"","Cundall Bat Bridge","Cundall Beck","1987-01-01","","F2311",8016.0,"27082","Active",""
"9cba8a99-f947-4661-8745-3cf4350dfda5","9cba8a99-f947-4661-8745-3cf4350dfda5",217955,70936,-4.568841,50.509842,12.0,"Colliford Weir","St Neot River","1983-03-31","","SX17F025","","","Active",""
"9cba8a99-f947-4661-8745-3cf4350dfda5_376412","9cba8a99-f947-4661-8745-3cf4350dfda5",217942,70966,-4.569038,50.510107,"","Colliford","","2001-04-24","","376412","","","Active",""
"013054a3-670e-49ee-afda-e0865a449197","013054a3-670e-49ee-afda-e0865a449197",372223,90653,-2.394795,50.714835,206.0,"Dorchester Combined","River Frome","1971-10-01","","445512","","44004","Active",""
"d173a23d-0450-4ca0-8aae-0524490e9d75","d173a23d-0450-4ca0-8aae-0524490e9d75",411245,339675,-1.834061,52.954325,399.0,"Rocester Dove","River Dove","1972-09-01","","4008",2101.0,"28008","Active",""
"c9fb80f4-1454-40ca-a87e-da4a12ea76fa","c9fb80f4-1454-40ca-a87e-da4a12ea76fa",336600,486264,-2.974952,54.268069,247.0,"Newby Bridge","River Leven","1939-01-01","","735430",5160.0,"73010","Active",""
"49aac0d2-d8f1-464f-989c-2564e4891401","49aac0d2-d8f1-464f-989c-2564e4891401",636008,260105,1.451352,52.188641,63.9,"Farnham","River Alde","1961-10-01","","035003",6085.0,"35003","Active",""
"3f823183-2275-444a-9896-981be95ff3bf","3f823183-2275-444a-9896-981be95ff3bf",251312,69888,-4.098343,50.509853,44.6,"Horrabridge","River Walkham","1974-04-18","","SX56F057",3200.0,"47014","Active",""
"e786e60f-a0f1-4955-aa57-f22ba39c7427","e786e60f-a0f1-4955-aa57-f22ba39c7427",403913,561684,-1.94043,54.949776,2175.6,"Bywell","River Tyne","1956-10-01","","023001",8040.0,"23001","Active",""
